Image,Total Pixels,Tumor Area,Tumor Ratio (%),Tumor Type
IMG000940.jpeg,2938320,8979.5,0.31,Benign (Lành tính)
IMG001792.jpeg,1462272,45582.0,3.12,Malignant (Ác tính)
IMG000943.jpeg,3326976,31741.0,0.95,Benign (Lành tính)
IMG001509.jpeg,5742492,217299.5,3.78,Malignant (Ác tính)
IMG001300.jpeg,3703224,2022.5,0.05,Benign (Lành tính)
IMG000460.jpeg,3598784,72513.5,2.01,Malignant (Ác tính)
IMG000220.jpeg,2770950,17087.0,0.62,Benign (Lành tính)
IMG000054.jpeg,512448,51857.0,10.12,Malignant (Ác tính)
IMG001842.jpeg,1272832,63917.5,5.02,Benign (Lành tính)
IMG000369.jpeg,5548392,48185.5,0.87,Malignant (Ác tính)
IMG000664.jpeg,7286400,706077.5,9.69,Benign (Lành tính)
IMG001003.jpeg,2337686,3600.5,0.15,Benign (Lành tính)
IMG000657.jpeg,7774464,173265.0,2.23,Benign (Lành tính)
IMG001651.jpeg,480000,25225.5,5.26,Benign (Lành tính)
IMG000294.jpeg,3515688,822.0,0.02,Benign (Lành tính)
IMG000264.jpeg,3558660,4739.5,0.13,Benign (Lành tính)
IMG000777.jpeg,4171392,166606.0,3.99,Benign (Lành tính)
IMG001561.jpeg,1443078,66712.0,4.62,Malignant (Ác tính)
IMG001692.jpeg,1321984,62164.5,4.7,Benign (Lành tính)
IMG000527.jpeg,5439408,60762.0,1.12,Benign (Lành tính)
IMG000822.jpeg,417960,4201.0,1.01,Malignant (Ác tính)
IMG001711.jpeg,400007,64993.0,16.25,Benign (Lành tính)
IMG001485.jpeg,227417,10632.5,4.68,Benign (Lành tính)
IMG000669.jpeg,3531156,63862.5,1.81,Benign (Lành tính)
IMG001613.jpeg,1841700,89024.5,4.83,Benign (Lành tính)
IMG001566.jpeg,1076775,25704.5,2.39,Malignant (Ác tính)
IMG001706.jpeg,468000,64040.0,13.68,Benign (Lành tính)
IMG001196.jpeg,3700008,533811.0,14.43,Benign (Lành tính)
IMG000464.jpeg,7774464,376638.0,4.84,Malignant (Ác tính)
IMG000873.jpeg,5995560,18618.0,0.31,Benign (Lành tính)
IMG000074.jpeg,401139,14841.5,3.7,Malignant (Ác tính)
IMG000968.jpeg,2370633,152401.0,6.43,Benign (Lành tính)
IMG001044.jpeg,3920076,11156.5,0.28,Benign (Lành tính)
IMG000392.jpeg,5824272,20095.0,0.35,Benign (Lành tính)
IMG000356.jpeg,854642,1750.0,0.2,Benign (Lành tính)
IMG000322.jpeg,4107648,1442.5,0.04,Benign (Lành tính)
IMG000916.jpeg,3706440,142349.5,3.84,Benign (Lành tính)
IMG000730.jpeg,1107234,4751.5,0.43,Benign (Lành tính)
IMG000287.jpeg,2505792,6285.0,0.25,Benign (Lành tính)
IMG000963.jpeg,2902712,127993.0,4.41,Benign (Lành tính)
IMG000803.jpeg,527450,14575.0,2.76,Malignant (Ác tính)
IMG000546.jpeg,5017200,1814.0,0.04,Benign (Lành tính)
IMG001844.jpeg,713115,1970.5,0.28,Benign (Lành tính)
IMG001599.jpeg,1189836,49584.0,4.17,Benign (Lành tính)
IMG000642.jpeg,7774464,7161.0,0.09,Benign (Lành tính)
IMG001281.jpeg,6787828,33243.0,0.49,Benign (Lành tính)
IMG001383.jpeg,675894,29072.5,4.3,Benign (Lành tính)
IMG000101.jpeg,345303,23973.5,6.94,Malignant (Ác tính)
IMG000285.jpeg,4266654,6442.5,0.15,Benign (Lành tính)
IMG001194.jpeg,2349312,63489.5,2.7,Benign (Lành tính)
IMG001296.jpeg,3801710,2118.0,0.06,Benign (Lành tính)
IMG001440.jpeg,435461,30610.5,7.03,Benign (Lành tính)
IMG001050.jpeg,4735010,69632.0,1.47,Benign (Lành tính)
IMG001565.jpeg,365274,54577.5,14.94,Benign (Lành tính)
IMG000427.jpeg,3859200,25888.0,0.67,Benign (Lành tính)
IMG001327.jpeg,3656562,3163.5,0.09,Benign (Lành tính)
IMG001784.jpeg,569088,713.0,0.13,Benign (Lành tính)
IMG001379.jpeg,3039834,39922.0,1.31,Benign (Lành tính)
IMG001026.jpeg,3478860,979.5,0.03,Benign (Lành tính)
IMG000668.jpeg,4972272,403974.5,8.12,Benign (Lành tính)
IMG000314.jpeg,6894768,41272.5,0.6,Benign (Lành tính)
IMG000005.jpeg,7017152,88553.5,1.26,Malignant (Ác tính)
IMG000260.jpeg,613085,3468.5,0.57,Benign (Lành tính)
IMG001704.jpeg,1340416,8247.5,0.62,Benign (Lành tính)
IMG001017.jpeg,2458512,16490.0,0.67,Benign (Lành tính)
IMG000012.jpeg,9542400,270520.0,2.83,Benign (Lành tính)
IMG000743.jpeg,3819970,2010.0,0.05,Benign (Lành tính)
IMG001152.jpeg,4242126,6905.0,0.16,Benign (Lành tính)
IMG001499.jpeg,1876368,36969.5,1.97,Malignant (Ác tính)
IMG000788.jpeg,637501,13518.5,2.12,Benign (Lành tính)
IMG001719.jpeg,673728,1463.5,0.22,Benign (Lành tính)
IMG001838.jpeg,302544,34128.0,11.28,Benign (Lành tính)
IMG001735.jpeg,544236,17584.5,3.23,Benign (Lành tính)
IMG001011.jpeg,3047776,2780.5,0.09,Benign (Lành tính)
IMG001291.jpeg,4464416,1274.0,0.03,Benign (Lành tính)
IMG001517.jpeg,719616,116150.0,16.14,Benign (Lành tính)
IMG000445.jpeg,4716459,3174.5,0.07,Benign (Lành tính)
IMG001699.jpeg,943104,14119.0,1.5,Benign (Lành tính)
IMG001497.jpeg,5746692,104492.5,1.82,Benign (Lành tính)
IMG001845.jpeg,566950,14599.5,2.58,Benign (Lành tính)
IMG000417.jpeg,1256000,44598.5,3.55,Benign (Lành tính)
IMG000401.jpeg,4255236,646630.0,15.2,Benign (Lành tính)
IMG000582.jpeg,7774464,7284.0,0.09,Benign (Lành tính)
IMG001275.jpeg,6781310,4785.0,0.07,Benign (Lành tính)
IMG001375.jpeg,4218736,242022.5,5.74,Malignant (Ác tính)
IMG001308.jpeg,5605110,12245.0,0.22,Benign (Lành tính)
IMG000262.jpeg,4296180,989.0,0.02,Benign (Lành tính)
IMG000727.jpeg,5634384,6977.0,0.12,Benign (Lành tính)
IMG001472.jpeg,4793860,321774.0,6.71,Malignant (Ác tính)
IMG001355.jpeg,1518728,64675.0,4.26,Benign (Lành tính)
IMG001609.jpeg,983502,28107.0,2.86,Benign (Lành tính)
IMG000772.jpeg,2575872,1968.0,0.08,Benign (Lành tính)
IMG000900.jpeg,4427776,20296.0,0.46,Benign (Lành tính)
IMG000096.jpeg,497952,14356.0,2.88,Malignant (Ác tính)
IMG000817.jpeg,355584,27132.5,7.63,Benign (Lành tính)
IMG001002.jpeg,2128113,53007.0,2.49,Benign (Lành tính)
IMG001151.jpeg,6780032,3426.5,0.05,Benign (Lành tính)
IMG000480.jpeg,2525000,28461.0,1.13,Benign (Lành tính)
IMG000902.jpeg,2270230,1393.5,0.06,Benign (Lành tính)
IMG000103.jpeg,399091,18312.5,4.59,Malignant (Ác tính)
IMG001367.jpeg,5878800,103707.5,1.76,Benign (Lành tính)
IMG001165.jpeg,2409032,19216.5,0.8,Benign (Lành tính)
IMG000667.jpeg,2792936,25336.5,0.91,Benign (Lành tính)
IMG000045.jpeg,420838,8199.5,1.95,Malignant (Ác tính)
IMG000430.jpeg,8366400,10090.5,0.12,Benign (Lành tính)
IMG001731.jpeg,341515,6720.5,1.97,Benign (Lành tính)
IMG001486.jpeg,444982,52878.0,11.88,Malignant (Ác tính)
IMG001721.jpeg,1458000,5837.0,0.4,Benign (Lành tính)
IMG000386.jpeg,2899287,464.5,0.02,Benign (Lành tính)
IMG001748.jpeg,1189888,4723.0,0.4,Benign (Lành tính)
IMG001201.jpeg,8749764,536583.0,6.13,Benign (Lành tính)
IMG000549.jpeg,2998144,2098.5,0.07,Benign (Lành tính)
IMG000923.jpeg,3703224,754.5,0.02,Benign (Lành tính)
IMG000446.jpeg,9542400,237667.0,2.49,Benign (Lành tính)
IMG000947.jpeg,3808188,7700.5,0.2,Benign (Lành tính)
IMG001798.jpeg,1335296,1356.0,0.1,Benign (Lành tính)
IMG000898.jpeg,3260007,4930.0,0.15,Benign (Lành tính)
IMG001416.jpeg,2328060,196897.5,8.46,Benign (Lành tính)
IMG000691.jpeg,3402150,10337.5,0.3,Benign (Lành tính)
IMG000422.jpeg,4428300,4501.0,0.1,Benign (Lành tính)
IMG000420.jpeg,4831200,6166.0,0.13,Benign (Lành tính)
IMG001571.jpeg,589743,2389.5,0.41,Benign (Lành tính)
IMG001323.jpeg,4723246,16274.0,0.34,Benign (Lành tính)
IMG000857.jpeg,2735716,14178.0,0.52,Benign (Lành tính)
IMG000985.jpeg,1330752,4714.0,0.35,Benign (Lành tính)
IMG001720.jpeg,135744,1851.0,1.36,Benign (Lành tính)
IMG000791.jpeg,503808,4940.0,0.98,Benign (Lành tính)
IMG001348.jpeg,4745160,730681.5,15.4,Benign (Lành tính)
IMG001758.jpeg,1128000,37544.5,3.33,Benign (Lành tính)
IMG000797.jpeg,509376,1230.0,0.24,Benign (Lành tính)
IMG000403.jpeg,3743052,721792.5,19.28,Benign (Lành tính)
IMG000866.jpeg,5473520,5797.5,0.11,Benign (Lành tính)
IMG000660.jpeg,5612976,384296.5,6.85,Benign (Lành tính)
IMG000500.jpeg,7774464,3935.5,0.05,Benign (Lành tính)
IMG001119.jpeg,8678916,240961.0,2.78,Benign (Lành tính)
IMG001090.jpeg,2906288,10386.5,0.36,Benign (Lành tính)
IMG000308.jpeg,571824,511.0,0.09,Benign (Lành tính)
IMG000321.jpeg,2016360,23008.5,1.14,Benign (Lành tính)
IMG000462.jpeg,7774464,54647.5,0.7,Benign (Lành tính)
IMG001643.jpeg,336960,5002.5,1.48,Benign (Lành tính)
IMG001212.jpeg,1207983,34299.0,2.84,Benign (Lành tính)
IMG000021.jpeg,5928640,236148.5,3.98,Benign (Lành tính)
IMG001865.jpeg,565950,77177.5,13.64,Benign (Lành tính)
IMG000603.jpeg,3822632,34347.5,0.9,Benign (Lành tính)
IMG000235.jpeg,7774464,81565.0,1.05,Malignant (Ác tính)
IMG001757.jpeg,603464,2219.0,0.37,Benign (Lành tính)
IMG001487.jpeg,294840,43613.5,14.79,Malignant (Ác tính)
IMG001324.jpeg,3704610,3276.0,0.09,Benign (Lành tính)
IMG000301.jpeg,5284245,3204.0,0.06,Benign (Lành tính)
IMG001428.jpeg,6807950,31702.0,0.47,Benign (Lành tính)
IMG000076.jpeg,405687,15938.0,3.93,Malignant (Ác tính)
IMG000639.jpeg,794522,598.5,0.08,Benign (Lành tính)
IMG000756.jpeg,6001488,242230.5,4.04,Benign (Lành tính)
IMG000790.jpeg,375830,1583.5,0.42,Benign (Lành tính)
IMG001224.jpeg,4031808,2198.5,0.05,Benign (Lành tính)
IMG001250.jpeg,5326864,87269.0,1.64,Benign (Lành tính)
IMG000206.jpeg,515262,26717.0,5.19,Malignant (Ác tính)
IMG001759.jpeg,1340416,1833.5,0.14,Benign (Lành tính)
IMG001644.jpeg,638306,2508.5,0.39,Benign (Lành tính)
IMG000475.jpeg,7005600,79810.5,1.14,Benign (Lành tính)
IMG000621.jpeg,7640640,19489.0,0.26,Benign (Lành tính)
IMG001286.jpeg,6776064,69933.0,1.03,Benign (Lành tính)
IMG001514.jpeg,4325680,477746.5,11.04,Benign (Lành tính)
IMG001580.jpeg,538193,32883.5,6.11,Malignant (Ác tính)
IMG000807.jpeg,530072,10739.0,2.03,Benign (Lành tính)
IMG001619.jpeg,4710266,24776.0,0.53,Benign (Lành tính)
IMG000845.jpeg,4796448,55744.0,1.16,Benign (Lành tính)
IMG000876.jpeg,3237768,2933.0,0.09,Benign (Lành tính)
IMG000496.jpeg,3827736,6649.0,0.17,Benign (Lành tính)
IMG000002.jpeg,4972480,131048.0,2.64,Malignant (Ác tính)
IMG000983.jpeg,8678916,10873.5,0.13,Benign (Lành tính)
IMG000383.jpeg,3638544,2763.0,0.08,Benign (Lành tính)
IMG000050.jpeg,744604,80265.5,10.78,Malignant (Ác tính)
IMG001679.jpeg,1144800,17797.5,1.55,Benign (Lành tính)
IMG000611.jpeg,7774464,14988.5,0.19,Benign (Lành tính)
IMG000823.jpeg,498550,3744.0,0.75,Malignant (Ác tính)
IMG001311.jpeg,6781310,4524.0,0.07,Benign (Lành tính)
IMG000144.jpeg,665852,9710.0,1.46,Malignant (Ác tính)
IMG001513.jpeg,1486807,39584.5,2.66,Malignant (Ác tính)
IMG001723.jpeg,762320,9410.0,1.23,Benign (Lành tính)
IMG001807.jpeg,599040,4962.0,0.83,Benign (Lành tính)
IMG001102.jpeg,8949072,292615.0,3.27,Benign (Lành tính)
IMG001356.jpeg,6774400,14168.0,0.21,Benign (Lành tính)
IMG000205.jpeg,449096,9725.0,2.17,Malignant (Ác tính)
IMG000986.jpeg,3703224,10895.0,0.29,Benign (Lành tính)
IMG001400.jpeg,515205,2015.5,0.39,Malignant (Ác tính)
IMG000190.jpeg,506390,6017.0,1.19,Malignant (Ác tính)
IMG000543.jpeg,4060640,33761.5,0.83,Benign (Lành tính)
IMG000648.jpeg,7774464,5681.0,0.07,Benign (Lành tính)
IMG000696.jpeg,6413856,28116.0,0.44,Benign (Lành tính)
IMG000625.jpeg,2989875,2476.5,0.08,Benign (Lành tính)
IMG000990.jpeg,5400976,2034.0,0.04,Benign (Lành tính)
IMG000620.jpeg,5412000,11255.0,0.21,Benign (Lành tính)
